"chemical" "ProteinID"
"CIDm00000197" "b3931"
"CIDm00000197" "b3932"
"CIDm00000197" "b3935"
"CIDm00000197" "b3942"
"CIDm00000197" "b3959"
"CIDm00000197" "b3962"
"CIDm00000197" "b3973"
"CIDm00000197" "b3974"
"CIDm00000197" "b4003"
"CIDm00000197" "b4004"
"CIDm00000197" "b4005"
"CIDm00000197" "b4016"
"CIDm00000197" "b4017"
"CIDm00000197" "b4024"
"CIDm00000197" "b4032"
"CIDm00000197" "b4033"
"CIDm00000197" "b4034"
"CIDm00000197" "b4035"
"CIDm00000197" "b4052"
"CIDm00000197" "b4058"
"CIDm00000197" "b4084"
"CIDm00000197" "b4109"
"CIDm00000197" "b4142"
"CIDm00000197" "b4143"
"CIDm00000197" "b4167"
"CIDm00000197" "b4168"
"CIDm00000197" "b4170"
"CIDm00000197" "b4172"
"CIDm00000197" "b4213"
"CIDm00000197" "b4218"
"CIDm00000197" "b4242"
"CIDm00000197" "b4334"
"CIDm00000197" "b4361"
"CIDm00000197" "b4391"
"CIDm00000197" "b4395"
"CIDm00000197" "b4399"
"CIDm00000205" "b0002"
"CIDm00000205" "b0003"
"CIDm00000205" "b0868"
"CIDm00000205" "b1267"
"CIDm00000205" "b1719"
"CIDm00000205" "b2016"
"CIDm00000205" "b2052"
"CIDm00000205" "b2255"
"CIDm00000205" "b3067"
"CIDm00000205" "b3282"
"CIDm00000205" "b3295"
"CIDm00000205" "b3619"
"CIDm00000205" "b3649"
"CIDm00000205" "b3940"
"CIDm00000205" "b3987"
"CIDm00000205" "b3988"
"CIDm00000205" "b4024"
"CIDm00000206" "b0047"
"CIDm00000206" "b0059"
"CIDm00000206" "b0108"
"CIDm00000206" "b0123"
"CIDm00000206" "b0150"
"CIDm00000206" "b0311"
"CIDm00000206" "b0344"
"CIDm00000206" "b0355"
"CIDm00000206" "b0363"
"CIDm00000206" "b0394"
"CIDm00000206" "b0403"
"CIDm00000206" "b0446"
"CIDm00000206" "b0448"
"CIDm00000206" "b0449"
"CIDm00000206" "b0477"
"CIDm00000206" "b0478"
"CIDm00000206" "b0493"
"CIDm00000206" "b0516"
"CIDm00000206" "b0596"
"CIDm00000206" "b0608"
"CIDm00000206" "b0676"
"CIDm00000206" "b0678"
"CIDm00000206" "b0756"
"CIDm00000206" "b0757"
"CIDm00000206" "b0759"
"CIDm00000206" "b0766"
"CIDm00000206" "b0822"
"CIDm00000206" "b0828"
"CIDm00000206" "b0837"
"CIDm00000206" "b0844"
"CIDm00000206" "b0872"
"CIDm00000206" "b0894"
"CIDm00000206" "b0914"
"CIDm00000206" "b0932"
"CIDm00000206" "b0935"
"CIDm00000206" "b0997"
"CIDm00000206" "b1010"
"CIDm00000206" "b1012"
"CIDm00000206" "b1022"
"CIDm00000206" "b1068"
"CIDm00000206" "b1093"
"CIDm00000206" "b1107"
"CIDm00000206" "b1119"
"CIDm00000206" "b1197"
"CIDm00000206" "b1250"
"CIDm00000206" "b1271"
"CIDm00000206" "b1288"
"CIDm00000206" "b1309"
"CIDm00000206" "b1310"
"CIDm00000206" "b1313"
"CIDm00000206" "b1315"
"CIDm00000206" "b1316"
"CIDm00000206" "b1319"
"CIDm00000206" "b1326"
"CIDm00000206" "b1386"
"CIDm00000206" "b1392"
"CIDm00000206" "b1411"
"CIDm00000206" "b1451"
"CIDm00000206" "b1474"
"CIDm00000206" "b1501"
"CIDm00000206" "b1580"
"CIDm00000206" "b1587"
"CIDm00000206" "b1594"
"CIDm00000206" "b1606"
"CIDm00000206" "b1617"
"CIDm00000206" "b1623"
"CIDm00000206" "b1624"
"CIDm00000206" "b1640"
"CIDm00000206" "b1646"
"CIDm00000206" "b1772"
"CIDm00000206" "b1774"
"CIDm00000206" "b1776"
"CIDm00000206" "b1803"
"CIDm00000206" "b1809"
"CIDm00000206" "b1872"
"CIDm00000206" "b1901"
"CIDm00000206" "b1927"
"CIDm00000206" "b1961"
"CIDm00000206" "b2032"
"CIDm00000206" "b2044"
"CIDm00000206" "b2050"
"CIDm00000206" "b2051"
"CIDm00000206" "b2057"
"CIDm00000206" "b2068"
"CIDm00000206" "b2091"
"CIDm00000206" "b2100"
"CIDm00000206" "b2132"
"CIDm00000206" "b2137"
"CIDm00000206" "b2150"
"CIDm00000206" "b2154"
"CIDm00000206" "b2160"
"CIDm00000206" "b2166"
"CIDm00000206" "b2206"
"CIDm00000206" "b2209"
"CIDm00000206" "b2271"
"CIDm00000206" "b2388"
"CIDm00000206" "b2472"
"CIDm00000206" "b2544"
"CIDm00000206" "b2545"
"CIDm00000206" "b2550"
"CIDm00000206" "b2552"
"CIDm00000206" "b2705"
"CIDm00000206" "b2716"
"CIDm00000206" "b2752"
"CIDm00000206" "b2753"
"CIDm00000206" "b2762"
"CIDm00000206" "b2774"
"CIDm00000206" "b2842"
"CIDm00000206" "b2872"
"CIDm00000206" "b2901"
"CIDm00000206" "b3017"
"CIDm00000206" "b3076"
"CIDm00000206" "b3080"
"CIDm00000206" "b3087"
"CIDm00000206" "b3113"
"CIDm00000206" "b3141"
"CIDm00000206" "b3160"
"CIDm00000206" "b3222"
"CIDm00000206" "b3350"
"CIDm00000206" "b3374"
"CIDm00000206" "b3379"
"CIDm00000206" "b3417"
"CIDm00000206" "b3429"
"CIDm00000206" "b3431"
"CIDm00000206" "b3432"
"CIDm00000206" "b3440"
"CIDm00000206" "b3453"
"CIDm00000206" "b3465"
"CIDm00000206" "b3526"
"CIDm00000206" "b3533"
"CIDm00000206" "b3551"
"CIDm00000206" "b3566"
"CIDm00000206" "b3571"
"CIDm00000206" "b3616"
"CIDm00000206" "b3619"
"CIDm00000206" "b3628"
"CIDm00000206" "b3656"
"CIDm00000206" "b3697"
"CIDm00000206" "b3718"
"CIDm00000206" "b3721"
"CIDm00000206" "b3752"
"CIDm00000206" "b3826"
"CIDm00000206" "b3878"
"CIDm00000206" "b3879"
"CIDm00000206" "b3880"
"CIDm00000206" "b3894"
"CIDm00000206" "b3924"
"CIDm00000206" "b3942"
"CIDm00000206" "b3957"
"CIDm00000206" "b4031"
"CIDm00000206" "b4032"
"CIDm00000206" "b4033"
"CIDm00000206" "b4034"
"CIDm00000206" "b4035"
"CIDm00000206" "b4036"
"CIDm00000206" "b4079"
"CIDm00000206" "b4084"
"CIDm00000206" "b4088"
"CIDm00000206" "b4109"
"CIDm00000206" "b4139"
"CIDm00000206" "b4212"
"CIDm00000206" "b4239"
"CIDm00000206" "b4243"
"CIDm00000206" "b4248"
"CIDm00000206" "b4249"
"CIDm00000206" "b4266"
"CIDm00000206" "b4267"
"CIDm00000206" "b4280"
"CIDm00000206" "b4316"
"CIDm00000206" "b4320"
"CIDm00000206" "b4358"
"CIDm00000206" "b4465"
"CIDm00000224" "b0009"
"CIDm00000224" "b0014"
"CIDm00000224" "b0023"
"CIDm00000224" "b0025"
"CIDm00000224" "b0037"
"CIDm00000224" "b0039"
"CIDm00000224" "b0041"
"CIDm00000224" "b0042"
"CIDm00000224" "b0047"
"CIDm00000224" "b0049"
"CIDm00000224" "b0051"
"CIDm00000224" "b0073"
"CIDm00000224" "b0091"
"CIDm00000224" "b0099"
"CIDm00000224" "b0103"
"CIDm00000224" "b0133"
"CIDm00000224" "b0142"
"CIDm00000224" "b0169"
"CIDm00000224" "b0219"
"CIDm00000224" "b0221"
"CIDm00000224" "b0238"
"CIDm00000224" "b0312"
"CIDm00000224" "b0335"
"CIDm00000224" "b0423"
"CIDm00000224" "b0450"
"CIDm00000224" "b0469"
"CIDm00000224" "b0474"
"CIDm00000224" "b0477"
"CIDm00000224" "b0478"
"CIDm00000224" "b0484"
"CIDm00000224" "b0522"
"CIDm00000224" "b0526"
"CIDm00000224" "b0586"
"CIDm00000224" "b0594"
"CIDm00000224" "b0607"
"CIDm00000224" "b0650"
"CIDm00000224" "b0658"
"CIDm00000224" "b0674"
"CIDm00000224" "b0680"
"CIDm00000224" "b0723"
"CIDm00000224" "b0726"
"CIDm00000224" "b0758"
"CIDm00000224" "b0782"
"CIDm00000224" "b0784"
"CIDm00000224" "b0797"
"CIDm00000224" "b0826"
"CIDm00000224" "b0827"
"CIDm00000224" "b0893"
"CIDm00000224" "b0905"
"CIDm00000224" "b0930"
"CIDm00000224" "b1004"
"CIDm00000224" "b1014"
"CIDm00000224" "b1094"
"CIDm00000224" "b1103"
"CIDm00000224" "b1106"
"CIDm00000224" "b1120"
"CIDm00000224" "b1131"
"CIDm00000224" "b1133"
"CIDm00000224" "b1134"
"CIDm00000224" "b1136"
"CIDm00000224" "b1192"
"CIDm00000224" "b1207"
"CIDm00000224" "b1241"
"CIDm00000224" "b1250"
"CIDm00000224" "b1266"
"CIDm00000224" "b1267"
"CIDm00000224" "b1297"
"CIDm00000224" "b1300"
"CIDm00000224" "b1303"
"CIDm00000224" "b1333"
"CIDm00000224" "b1343"
"CIDm00000224" "b1376"
"CIDm00000224" "b1385"
"CIDm00000224" "b1398"
